ID,Address,SFT,Beds,Baths,Price
33,"9835 Estate Ln Dallas, TX 75238","2,232 sqft",3bd,2ba,"$500,000"
34,"5835 Vickery Blvd Dallas, TX 75206","3,160 sqft",5bd,4ba,"$1,350,000"
35,"Wellington Farms Dallas Dallas, TX 75253","1,450 sqft",3bd,2ba,"$312,490+"
36,"Emory Park Dallas, TX 75212","1,610 sqft",3bd,4ba,"$519,000+"
37,"University Place Dallas, TX 75252","2,115 sqft",3bd,3ba,"$671,499+"
38,"6459 Fisher Rd Dallas, TX 75214","1,217 sqft",Studio,NA,"$375,000"
39,"6042 Monticello Ave Dallas, TX 75206","2,402 sqft",2bd,3ba,"$800,000"
0,"1522 Toronto St Dallas, TX 75212",788 sqft,1bd,1ba,"$250,000"
1,"1510 Toronto St Dallas, TX 75212",904 sqft,1bd,1ba,"$250,000"
2,"1530 Monte Carlo St Dallas, TX 75224","1,575 sqft",3bd,2ba,"$325,000"
3,"6320 Cinnamon Oaks Dr Dallas, TX 75241","1,073 sqft",3bd,2ba,"$160,000"
